Meal_Id,Name,catagory,description,Veg_Non,Nutrient,Disease,Diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,alkaline_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,low_fat_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,ketogenic_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,low_sodium_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,high_fiber_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,high_protien_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,obesity,dash_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,alkaline_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,low_fat_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,ketogenic_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,low_sodium_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,high_fiber_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,high_protien_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,diabeties,dash_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,alkaline_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,low_fat_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,ketogenic_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,low_sodium_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,high_fiber_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,high_protien_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,hypertension,dash_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,alkaline_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,low_fat_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,ketogenic_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,low_sodium_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,high_fiber_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,high_protien_diet
1,summer squash salad,salad,"white balsamic vinegar,lemon juice,lemon rind,red chillies,garlic cloves (crushed),olive oil,summer squash (zucchini),sea salt,black pepper,basil leaves",veg,fiber,goitre,dash_diet
2,chicken minced salad,salad,"olive oil,chicken mince,garlic (minced),onion,salt,black pepper,carrot,cabbage,green onions,sweet chilli sauce,peanut butter,ginger,soy sauce,fresh cilantro,red pepper flakes (crushed),tarts",non-veg,fiber,anemia,low_fat_diet
2,chicken minced salad,salad,"olive oil,chicken mince,garlic (minced),onion,salt,black pepper,carrot,cabbage,green onions,sweet chilli sauce,peanut butter,ginger,soy sauce,fresh cilantro,red pepper flakes (crushed),tarts",non-veg,fiber,anemia,low_carb_diet
