ID,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
0,0,22,0.2,2.4,0.91,23.0,14,224.0,4.1,2.0,0,1.3
3,0,250,1.5,10.0,2.76,20.0,439,165.0,49.0,4.1,0,6.1
5,0,25,0.5,3.8,1.27,118.0,56,343.0,3.1,2.8,0,0.6
6,0,362,2.7,7.5,1.8,33.0,4,268.0,76.0,3.4,0,0.0
7,0,32,0.3,3.0,0.72,32.0,259,278.0,6.3,3.3,0,0.0
10,0,97,1.4,3.3,0.55,2.0,253,3.3,22.0,2.7,0,7.7
15,0,40,0.1,1.1,0.21,23.0,4,146.0,9.3,1.7,0,4.2
17,0,71,0.7,2.2,0.91,13.0,381,192.0,14.0,0.9,0,4.0
19,0,81,0.4,5.4,1.47,25.0,5,244.0,14.0,5.7,0,5.7
21,0,18,0.1,0.7,0.57,15.0,237,230.0,4.3,1.1,0,2.1
22,1,187,9.3,16.0,1.0,17.0,402,178.0,9.4,0.0,0,0.0
26,0,289,14.0,3.5,0.91,17.0,357,545.0,37.0,3.9,0,0.3
27,1,292,15.0,18.0,0.62,13.0,859,315.0,20.0,1.3,0,0.0
28,0,256,12.0,13.0,2.78,92.0,660,178.0,25.0,1.4,0,0.0
29,1,257,12.0,15.0,1.32,92.0,605,256.0,23.0,1.2,0,5.0
30,0,426,23.0,5.2,1.06,60.0,402,102.0,51.0,1.5,0,32.0
31,0,452,25.0,4.9,4.0,24.0,326,201.0,51.0,1.9,0,27.0
34,0,168,3.7,4.5,8.0,0.7,94,76.0,29.0,0.9,0,0.1
35,0,156,1.7,5.0,17.2,4.0,207,63.0,30.2,2.1,0,0.74
37,0,297,7.5,11.0,3.01,93.0,409,266.0,46.0,4.9,0,2.7
38,0,16,0.2,1.2,0.47,5.0,42,212.0,3.2,0.9,0,2.63
39,0,60,4.0,3.1,0.08,183.0,70,234.0,7.0,0.0,1,7.0
41,0,108,0.2,1.8,0.14,4.0,19,4.0,24.0,1.0,0,0.0
42,0,188,7.2,4.4,24.0,6.4,522,91.0,26.4,2.2,0,0.24
44,0,109,8.5,2.1,35.2,8.3,243,366.0,6.3,1.5,0,3.29
46,0,22,0.3,3.1,0.5,3.0,5,318.0,3.3,1.0,7,2.0
48,0,76,0.1,1.4,0.72,27.0,27,230.0,18.0,2.5,0,5.7
49,0,87,0.1,1.9,0.31,5.0,240,379.0,20.0,2.0,0,0.9
50,0,360,0.6,6.6,4.36,9.0,1,86.0,79.0,1.4,0,0.0
52,0,73,1.9,10.0,0.04,115.0,34,141.0,3.9,0.0,0,3.6
56,0,95,4.2,11.0,0.1,56.0,403,86.0,3.0,0.1,0,0.4
57,1,127,4.4,21.0,0.38,7.0,75,366.0,0.0,0.0,435,0.0
59,0,31,0.2,1.8,1.03,37.0,6,211.0,7.0,2.7,0,3.3
60,0,101,0.5,8.8,3.1,14.0,246,284.0,21.0,0.0,0,0.0
61,0,126,0.7,2.6,0.25,1.0,0,31.0,28.0,4.8,0,0.0
65,0,120,1.9,4.4,1.49,17.0,7,172.0,21.0,2.8,0,0.9
66,1,109,2.3,21.0,2.83,13.0,82,385.0,57.0,0.0,0,0.0
67,1,114,2.3,22.0,3.2,12.0,50,378.0,0.0,0.0,0,0.0
69,1,255,13.0,3.3,0.69,19.0,43,551.0,31.0,3.5,0,0.9
70,0,195,4.9,3.6,1.18,39.0,677,131.0,34.0,1.1,0,1.4
73,0,194,12.0,6.5,57.0,145.0,375,127.0,16.0,1.1,0,2.8
76,0,350,22.0,4.3,0.75,63.0,313,362.0,35.0,3.2,0,2.2
77,1,351,22.0,18.0,1.42,32.0,1140,288.0,21.0,1.0,0,0.0
78,1,203,10.0,27.0,1.52,28.0,78,294.0,0.0,0.0,8,0.0
79,1,159,4.0,29.0,4.9,6.0,81,409.0,0.0,0.0,0,0.0
